Unnamed: 0,course_id,course_title,url,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,published_timestamp,subject,clean_course_title,Year,Month,Day,Profit,course_title_len
52,411168,Trading Inside Bars - Master 1 Easy Pattern To Be Successful,https://www.udemy.com/trading-inside-bars-find-setups-today-make-money-tomorrow/,,125.0,2996,200,23,Intermediate Level,2 hours,2015-03-09,Business Finance,Trading Inside Bars  Master 1 Easy Pattern Successful,2015,3,9,374500.0,60
53,885974,Four Fundamentals of Financial Planning,https://www.udemy.com/four-fundamentals-of-financial-planning/,,30.0,6219,23,20,All Levels,1 hour,2017-02-14,Business Finance,Fundamentals Financial Planning,2017,2,14,186570.0,39
54,1151092,Options Trading - Calendar Spread Course for Every Trader,https://www.udemy.com/options-trading-calendar-spread-course-for-every-trader/,,200.0,1113,11,17,All Levels,1.5 hours,2017-04-02,Business Finance,Options Trading  Calendar Spread Course Trader,2017,4,2,222600.0,57
55,358326,Dividend Investing: Build Your Portfolio for a Better Future,https://www.udemy.com/dividend-investing/,,60.0,8314,83,47,Beginner Level,4 hours,2015-01-24,Business Finance,Dividend Investing Build Portfolio Better Future,2015,1,24,498840.0,60
56,153210,Learn Accounting. Understand Business.,https://www.udemy.com/learn-accounting-understand-business/,,200.0,5572,123,33,Beginner Level,5.5 hours,2014-03-27,Business Finance,Learn Accounting Understand Business,2014,3,27,1114400.0,38
57,834836,How to Consistently Win Trading Stocks in 30 Days or Less,https://www.udemy.com/winningstocktrades/,,145.0,1433,169,15,Intermediate Level,1 hour,2016-05-09,Business Finance,Consistently Win Trading Stocks 30 Days,2016,5,9,207785.0,57
58,1171994,A Beginner's Guide to Quantopian Futures API,https://www.udemy.com/quantopian-futures/,,20.0,936,6,11,Intermediate Level,1.5 hours,2017-04-11,Business Finance,Beginners Guide Quantopian Futures API,2017,4,11,18720.0,44
59,1239068,How to Buy Cheap Options - Options Trading Pricing Model,https://www.udemy.com/options-black-scholes-model/,,200.0,658,2,19,All Levels,1 hour,2017-06-02,Business Finance,Buy Cheap Options  Options Trading Pricing Model,2017,6,2,131600.0,56
60,985922,Excel Crash Course: Master Excel for Financial Analysis,https://www.udemy.com/excel-crash-course-master-excel-for-financial-analysis/,,105.0,8121,689,40,All Levels,3.5 hours,2016-10-18,Business Finance,Excel Crash Course Master Excel Financial Analysis,2016,10,18,852705.0,55
61,765562,"Comprehensive Guide to Financial Markets, Investing &Trading",https://www.udemy.com/financial-markets-a-to-z-for-beginners/,,60.0,4187,600,79,Beginner Level,9 hours,2016-02-29,Business Finance,Comprehensive Guide Financial Markets Investing Trading,2016,2,29,251220.0,60
62,165964,Stock Trading Ninja: Complete System For Trading Success,https://www.udemy.com/stock-trading-ninja-learn-how-to-make-money-trading-stocks/,,155.0,9445,497,38,All Levels,4.5 hours,2014-02-19,Business Finance,Stock Trading Ninja Complete System Trading Success,2014,2,19,1463975.0,56
63,855172,Hedge and Mutual Fund Careers: The Complete Guide,https://www.udemy.com/hedge-fund-mutual-fund-careers-the-complete-guide-how-to-pick-stocks/,,200.0,3255,340,102,All Levels,8.5 hours,2016-06-20,Business Finance,Hedge Mutual Fund Careers Complete Guide,2016,6,20,651000.0,49
64,258232,Algorithmic Trading In Forex: Create Your First Forex Robot!,https://www.udemy.com/learn-mql4/,,185.0,7941,713,40,All Levels,6.5 hours,2014-08-11,Business Finance,Algorithmic Trading Forex Create Forex Robot,2014,8,11,1469085.0,60
65,994754,The Power Modeling Bootcamp: Advanced Excel in 10 Days,https://www.udemy.com/the-power-modeling-bootcamp-advanced-excel-in-10-days/,,150.0,1680,158,76,All Levels,5.5 hours,2016-11-26,Business Finance,Power Modeling Bootcamp Advanced Excel 10 Days,2016,11,26,252000.0,54
66,43319,Options Trading Basics (3-Course Bundle),https://www.udemy.com/learn-options-trading-courses/,,180.0,10100,985,45,Beginner Level,11 hours,2013-02-25,Business Finance,Options Trading Basics 3Course Bundle,2013,2,25,1818000.0,40
67,408440,How to Win 97% of Your Options Trades,https://www.udemy.com/how-to-win-97-percent-of-your-trades/,,125.0,5050,461,26,All Levels,1.5 hours,2015-02-10,Business Finance,Win 97 Options Trades,2015,2,10,631250.0,37
68,918688,How I Make Consistent Returns Trading Options,https://www.udemy.com/how-i-make-15-per-month-trading-options/,,200.0,2310,162,26,All Levels,3.5 hours,2016-10-05,Business Finance,Consistent Returns Trading Options,2016,10,5,462000.0,45
69,308694,"Forex Strategies: Kelly Criterion, Larry Williams and more!",https://www.udemy.com/money-management/,,185.0,5528,506,32,All Levels,3 hours,2015-02-19,Business Finance,Forex Strategies Kelly Criterion Larry Williams more,2015,2,19,1022680.0,59
70,199450,"Elite Trend Trader: Learn To Trade Stocks, Options & Forex",https://www.udemy.com/elite-trend-trader-how-to-make-a-fortune-trading-the-trend/,,125.0,6451,237,28,All Levels,5 hours,2014-04-16,Business Finance,Elite Trend Trader Learn Trade Stocks Options  Forex,2014,4,16,806375.0,58
71,401784,Options Trading Introduction: Day Trade Stock Options,https://www.udemy.com/how-to-trade-stock-options-level-1-start-day-trading/,,95.0,12394,218,30,Beginner Level,2.5 hours,2015-02-20,Business Finance,Options Trading Introduction Day Trade Stock Options,2015,2,20,1177430.0,53
72,1122792,The Almost Perfect Options Trading Strategy System - Unique,https://www.udemy.com/the-almost-perfect-options-trading-strategy-system-unique/,,200.0,1793,18,15,All Levels,1 hour,2017-03-03,Business Finance,Perfect Options Trading Strategy System  Unique,2017,3,3,358600.0,59
73,709500,Forex Trading -  Learn to Trade Forex Like the Banks,https://www.udemy.com/forex-trading-learn-the-same-strategies-used-by-banks/,,20.0,3223,240,23,All Levels,1 hour,2016-03-30,Business Finance,Forex Trading  Learn Trade Forex Like Banks,2016,3,30,64460.0,52
74,285638,Learn to Trade for Profit:Trading with Japanese Candlesticks,https://www.udemy.com/introduction-to-japanese-candlesticks/,,60.0,16385,273,45,Beginner Level,3 hours,2014-09-02,Business Finance,Learn Trade ProfitTrading Japanese Candlesticks,2014,9,2,983100.0,60
75,1135126,The Most Powerful Options Spread Trading Front Ratio Spread,https://www.udemy.com/the-most-powerful-options-spread-trading-front-ratio-spread/,,200.0,1487,16,18,All Levels,2 hours,2017-03-08,Business Finance,Powerful Options Spread Trading Ratio Spread,2017,3,8,297400.0,59
76,834558,What Finance Job is for You? Explanation of 14 Finance Roles,https://www.udemy.com/what-finance-job-is-for-you-explanation-of-14-financial-analyst-roles/,,200.0,2951,232,60,All Levels,4 hours,2016-05-04,Business Finance,Finance Job You Explanation 14 Finance Roles,2016,5,4,590200.0,60
77,551968,The Blueprint for Successful Stock Trading,https://www.udemy.com/stock-market-millionaire-blueprint/,,120.0,2697,331,15,All Levels,1 hour,2015-08-13,Business Finance,Blueprint Successful Stock Trading,2015,8,13,323640.0,42
78,1005658,Trading for Beginners - Intermediate Level,https://www.udemy.com/trading-for-beginners-tier-2/,,150.0,3979,40,39,Beginner Level,5 hours,2016-11-09,Business Finance,Trading Beginners  Intermediate Level,2016,11,9,596850.0,42
79,746432,Start Trading Stocks Using Technical Analysis!,https://www.udemy.com/professional-stock-trader/,,25.0,3190,244,45,All Levels,4 hours,2016-02-03,Business Finance,Start Trading Stocks Technical Analysis,2016,2,3,79750.0,46
80,1057242,Learn How to Set Up an Incubator Hedge Fund - Step-by-Step,https://www.udemy.com/hedge-fund-startup/,,200.0,1406,71,54,Expert Level,1.5 hours,2017-01-18,Business Finance,Learn Set Incubator Hedge Fund  StepbyStep,2017,1,18,281200.0,58
81,284118,VPS for Forex Trading - Protect Your Forex Robots,https://www.udemy.com/forex-vps/,,160.0,4252,225,24,All Levels,2 hours,2014-09-19,Business Finance,VPS Forex Trading  Protect Forex Robots,2014,9,19,680320.0,49
82,302562,Introduction to Accounting: The Language of Business,https://www.udemy.com/learnaccountingforfree/,,20.0,11958,370,134,Beginner Level,11.5 hours,2014-10-02,Business Finance,Introduction Accounting Language Business,2014,10,2,239160.0,52
83,596598,Basic Excel for Basic Bookkeeping and Accounting,https://www.udemy.com/basic-excel-for-basic-bookkeeping/,,95.0,7743,340,33,Beginner Level,1.5 hours,2015-09-10,Business Finance,Basic Excel Basic Bookkeeping Accounting,2015,9,10,735585.0,48
84,860890,"Using 'The Greeks To Understand Options""",https://www.udemy.com/options-greeks/,,50.0,2134,55,5,All Levels,1 hour,2016-07-13,Business Finance,The Greeks Understand Options,2016,7,13,106700.0,40
85,951050,Trading Options For Consistent Returns: Calendar Spreads,https://www.udemy.com/trading-options-for-consistent-returns-calendar-spreads/,,200.0,1214,69,20,All Levels,1.5 hours,2016-10-07,Business Finance,Trading Options Consistent Returns Calendar Spreads,2016,10,7,242800.0,56
